|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |1059|150-021|ОТДЕЛ АНАЛИЗА, ПЛАНИРОВАНИЯ, КОНТРОЛЯ И ИНФОРМАЦИОННОГО ОБЕСПЕЧЕНИЯ УФМС РОССИИ ПО РСО-АЛАНИЯ|15.07.2011|
 |1060|150-022|ОТДЕЛ ПО ВОПРОСАМ БЕЖЕНЦЕВ И ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1061|150-023|ОТДЕЛ ФИНАНСОВОГО И РЕСУРСНОГО ОБЕСПЕЧЕНИЯ УФМС РОССИИ ПО РСО-АЛАНИЯ|12.09.2008|
 |1062|150-050|УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В Г. ВЛАДИКАВКАЗ| |
 |1063|150-050|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ПРИЗАТЕРЕЧНОМ Р-НЕ| |
 |1064|151-001|МВД РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|01.01.2006|
 |1065|152-001|ОВД ЗАТЕРЕЧНОГО МУНИЦИПАЛЬНОГО ОКРУГА Г. ВЛАДИКАВКАЗА|12.03.2007|
 |1066|152-002|ОВД ИРИСТОНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА Г. ВЛАДИКАВКАЗА|12.03.2007|
 |1067|152-003|ОВД ПРОМЫШЛЕННОГО МУНИЦИПАЛЬНОГО ОКРУГА Г. ВЛАДИКАВКАЗА|12.03.2007|
 |1068|152-004|ОВД СЕВЕРО-ЗАПАДНОГО МУНИЦИПАЛЬНОГО ОКРУГА Г. ВЛАДИКАВКАЗА|12.03.2007|
 |1069|152-005|ОВД АЛАГИРСКОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1070|152-006|ОВД АРДОНСКОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1071|152-007|ОВД ДИГОРСКОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1072|152-008|ОВД ИРАФСКОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1073|152-009|ОВД КИРОВСКОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1074|152-010|УВД МОЗДОКСКОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1075|152-011|ОВД ПРАВОБЕРЕЖНОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1076|152-012|УВД ПРИГОРОДНОГО Р-НА РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ|12.03.2007|
 |1077|160-001|УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН| |
 |1078|160-001|ОТДЕЛ МИГРАЦИОННОГО УЧЕТА ИНОСТРАННЫХ ГРАЖДАН УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН| |
 |1079|160-002|УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН АВИАСТРОИТЕЛЬНОМ Р-НЕ Г. КАЗАНИ| |
 |1080|160-002|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АВИАСТРОИТЕЛЬНОМ Р-НЕ Г. КАЗАНИ| |
 |1081|160-003|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ВАХИТОВСКОМ Р-НЕ Г. КАЗАНИ| |
 |1082|160-004|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В КИРОВСКОМ Р-НЕ Г. КАЗАНИ| |
 |1083|160-004|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В КИРОВСКОМ Р-НЕ Г. КАЗАНИ| |
 |1084|160-005|ТП №1 УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В КИРОВСКОМ Р-НЕ Г. КАЗАНИ| |
 |1085|160-006|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В МОСКОВСКОМ Р-НЕ Г. КАЗАНИ| |
 |1086|160-007|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В НОВО-САВИНОВСКОМ Р-НЕ Г. КАЗАНИ| |
 |1087|160-008|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ПРИВОЛЖСКОМ Р-НЕ Г. КАЗАНИ| |
 |1088|160-009|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В СОВЕТСКОМ Р-НЕ Г. КАЗАНИ| |
 |1089|160-010|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН (С МЕСТОМ ДИСЛОКАЦИИ В П. АЗИНО)| |
 |1090|160-010|ТП № 1 ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В СОВЕТСКОМ Р-НЕ Г. КАЗАНИ| |
 |1091|160-011|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН (С МЕСТОМ ДИСЛОКАЦИИ В П. ДЕРБЫШКИ)| |
 |1092|160-011|ТП № 2 ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В СОВЕТСКОМ Р-НЕ Г. КАЗАНИ| |
 |1093|160-012|ОТДЕЛЕНИЕ В АВТОЗАВОДСКОМ Р-НЕ ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1094|160-013|ОТДЕЛЕНИЕ В КОМСОМОЛЬСКОМ Р-НЕ ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1095|160-014|ОТДЕЛЕНИЕ В ЦЕНТРАЛЬНОМ Р-НЕ ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1096|160-015|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЭЛЕКТРОТЕХНИЧЕСКОМ Р-НЕ Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1097|160-015|ОТДЕЛЕНИЕ В ЭЛЕКТРОТЕХНИЧЕСКОМ Р-НЕ ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1098|160-016|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТУКАЕВСКОМ Р-НЕ| |
 |1099|160-017|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В Г. НИЖНЕКАМСК| |
 |1100|160-018|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В Г. НИЖНЕКАМСК| |
 |1101|160-019|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АЛЬМЕТЬЕВСКОМ Р-НЕ| |
 |1102|160-020|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЗЕЛЕНОДОЛЬСКОМ Р-НЕ| |
 |1103|160-021|ТП №2 ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЗЕЛЕНОДОЛЬСКОМ Р-НЕ| |
 |1104|160-022|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН (С МЕСТОМ ДИСЛОКАЦИИ В П. НИЖНИЕ ВЯЗОВЫЕ)| |
 |1105|160-022|ТП №1 ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЗЕЛЕНОДОЛЬСКОМ Р-НЕ| |
 |1106|160-023|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АЗНАКАЕВСКОМ Р-НЕ| |
 |1107|160-024|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В Г. БАВЛЫ| |
 |1108|160-024|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В БАВЛИНСКОМ Р-НЕ| |
 |1109|160-025|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В БУГУЛЬМИНСКОМ Р-НЕ| |
 |1110|160-026|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В БУИНСКОМ Р-НЕ| |
 |1111|160-027|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЕЛАБУЖСКОМ Р-НЕ| |
 |1112|160-027|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЕЛАБУЖСКОМ Р-НЕ| |
 |1113|160-028|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЗАИНСКОМ Р-НЕ| |
 |1114|160-028|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЗАИНСКОМ Р-НЕ| |
 |1115|160-029|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЛЕНИНОГОРСКОМ Р-НЕ| |
 |1116|160-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В НУРЛАТСКОМ Р-НЕ| |
 |1117|160-031|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЧИСТОПОЛЬСКОМ Р-НЕ| |
 |1118|160-032|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АГРЫЗСКОМ Р-НЕ| |
 |1119|160-033|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АКСУБАЕВСКОМ Р-НЕ| |
 |1120|160-034|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АКТАНЫШСКОМ Р-НЕ| |
 |1121|160-035|ТП УФМС ПО РЕСПУБЛИКЕ ТАТАРСТАН В АЛЕКСЕЕВСКОМ Р-НЕ| |
 |1122|160-035|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АЛЕКСЕЕВСКОМ Р-НЕ| |
 |1123|160-036|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АЛЬКЕЕВСКОМ Р-НЕ| |
 |1124|160-037|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АПАСТОВСКОМ Р-НЕ| |
 |1125|160-038|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АРСКОМ Р-НЕ| |
 |1126|160-039|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АТНИНСКОМ Р-НЕ| |
 |1127|160-039|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АТНИНСКОМ Р-НЕ| |
 |1128|160-040|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В БАЛТАСИНСКОМ Р-НЕ| |
 |1129|160-041|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ВЕРХНЕУСЛОНСКОМ Р-НЕ| |
 |1130|160-042|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ВЫСОКОГОРСКОМ Р-НЕ| |
 |1131|160-043|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ДРОЖЖАНОВСКОМ Р-НЕ| |
 |1132|160-044|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В КАМСКО-УСТЬИНСКОМ Р-НЕ| |
 |1133|160-045|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В КАЙБИЦКОМ Р-НЕ| |
 |1134|160-046|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В КУКМОРСКОМ Р-НЕ| |
 |1135|160-047|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЛАИШЕВСКОМ Р-НЕ| |
 |1136|160-048|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В МАМАДЫШСКОМ Р-НЕ| |
 |1137|160-048|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В МАМАДЫШСКОМ Р-НЕ| |
 |1138|160-049|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В МЕНДЕЛЕЕВСКОМ Р-НЕ| |
 |1139|160-050|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В МЕНЗЕЛИНСКОМ Р-НЕ| |
 |1140|160-051|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В МУСЛЮМОВСКОМ Р-НЕ| |
 |1141|160-052|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В НОВОШЕШМИНСКОМ Р-НЕ| |
 |1142|160-053|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ПЕСТРЕЧИНСКОМ Р-НЕ| |
 |1143|160-053|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ПЕСТРЕЧИНСКОМ Р-НЕ| |
 |1144|160-054|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В РЫБНО-СЛОБОДСКОМ Р-НЕ| |
 |1145|160-055|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В САБИНСКОМ Р-НЕ| |
 |1146|160-056|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В САРМАНОВСКОМ Р-НЕ| |
 |1147|160-057|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В СПАССКОМ Р-НЕ| |
 |1148|160-058|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЕТЮШСКОМ Р-НЕ| |
 |1149|160-058|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЕТЮШСКОМ Р-НЕ| |
 |1150|160-059|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЮЛЯЧИНСКОМ Р-НЕ| |
 |1151|160-059|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЮЛЯЧИНСКОМ Р-НЕ| |
 |1152|160-060|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЧЕРЕМШАНСКОМ Р-НЕ| |
 |1153|160-060|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЧЕРЕМШАНСКОМ Р-НЕ| |
 |1154|160-061|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЮТАЗИНСКОМ Р-НЕ| |
 |1155|160-061|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЮТАЗИНСКОМ Р-НЕ| |
 |1156|160-078|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1157|160-078|ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ| |
 |1158|160-079|ОАСР УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН| |
 |1159|161-001|ДЧ МВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1160|161-001|ДЧ УВД АВИАСТРОИТЕЛЬНОГО Р-НА Г. КАЗАНИ| |
 |1161|161-001|ДЧ УВД Г. КАЗАНИ| |
 |1162|161-001|МВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1163|162-001|УВД АВИАСТРОИТЕЛЬНОГО Р-НА Г. КАЗАНИ| |
 |1164|162-002|УВД ВАХИТОВСКОГО Р-НА Г. КАЗАНИ| |
 |1165|162-003|УВД КИРОВСКОГО Р-НА Г. КАЗАНИ| |
 |1166|162-004|УВД МОСКОВСКОГО Р-НА Г. КАЗАНИ| |
 |1167|162-005|УВД НОВО-САВИНОВСКОГО Р-НА Г. КАЗАНИ| |
 |1168|162-006|УВД ПРИВОЛЖСКОГО Р-НА Г. КАЗАНИ| |
 |1169|162-007|УВД СОВЕТСКОГО Р-НА Г. КАЗАНИ| |
 |1170|162-008|АВТОЗАВОДСКИЙ ОВД Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ РЕСПУБЛИКИ ТАТАРСТАН| |
 |1171|162-009|БОРОВЕЦКИЙ ОВД Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ РЕСПУБЛИКИ ТАТАРСТАН| |
 |1172|162-010|КОМСОМОЛЬСКИЙ ОВД Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ РЕСПУБЛИКИ ТАТАРСТАН| |
 |1173|162-011|ОМ АЗИНО-2 СОВЕТСКОГО Р-НА Г. КАЗАНИ| |
 |1174|162-012|ЦЕНТРАЛЬНОЕ ОВД Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ РЕСПУБЛИКИ ТАТАРСТАН| |
 |1175|162-013|ЭЛЕКТРОТЕХНИЧЕСКИЙ ОВД Г. НАБЕРЕЖНЫЕ ЧЕЛНЫ РЕСПУБЛИКИ ТАТАРСТАН| |
 |1176|162-014|ОВД ТУКАЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1177|162-015|УВД Г. АЛЬМЕТЬЕВСК РЕСПУБЛИКИ ТАТАРСТАН| |
 |1178|162-016|БУГУЛЬМИНСКИЙ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1179|162-017|УВД Г.ЗЕЛЕНОДОЛЬСКА И ЗЕЛЕНОДОЛЬСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1180|162-018|УВД Г. НИЖНЕКАМСКА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1181|162-019|КАМСКО-ПОЛЯНСКИЙ ОВД Г. НИЖНЕКАМСКА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1182|162-020|БЫЗОВСКИЙ ОВД Г. НИЖНЕКАМСКА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1183|162-021|АХТУБИНСКИЙ ОВД Г. НИЖНЕКАМСКА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1184|162-022|ОВД АЗНАКАЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1185|162-023|ЕЛАБУЖСКИЙ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1186|162-024|ЗАИНСКИЙ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1187|162-025|ЛЕНИНОГОРСКИЙ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1188|162-026|ЧИСТОПОЛЬСКИМ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1189|162-027|ОВД АГРЫЗСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1190|162-028|ОВД АКСУБАЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1191|162-029|ОВД АКТАНЫШСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1192|162-030|ОВД АЛЕКСЕЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1193|162-031|ОВД АЛЬКЕЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1194|162-032|ОВД АПАСТОВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1195|162-033|ОВД АРСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1196|162-034|ОВД АТНИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1197|162-035|БАВЛИНСКИЙ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН| |
 |1198|162-036|ОВД БАЛТАСИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1199|162-037|ОВД БУИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1200|162-038|ОВД ВЕРХНЕУСЛОНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1201|162-039|ОВД ВЫСОКОГОРСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1202|162-040|ОВД ДРОЖЖАНОВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1203|162-041|ОВД КАЙБИЦКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1204|162-042|ОВД КАМСКО-УСТЬИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1205|162-043|ОВД КУКМОРСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1206|162-044|ОВД ЛАИШЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1207|162-045|ОВД МАМАДЫШСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1208|162-046|ОВД МЕНДЕЛЕЕВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1209|162-047|ОВД МЕНЗЕЛИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1210|162-048|ОВД МУСЛЮМОВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1211|162-049|ОВД НОВОШЕШМИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1212|162-050|ОВД НУРЛАТСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1213|162-051|ОВД ПЕСТРЕЧИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1214|162-052|ОВД РЫБНО-СЛОБОДСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1215|162-053|ОВД САБИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1216|162-054|ОВД САРМАНОВСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1217|162-055|ОВД СПАССКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1218|162-056|ОВД ТЕТЮШСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1219|162-057|ОВД ТЮЛЯЧИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1220|162-058|ОВД ЧЕРЕМШАНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1221|162-059|ОВД ЮТАЗИНСКОГО Р-НА РЕСПУБЛИКИ ТАТАРСТАН| |
 |1222|162-060|БУГУЛЬМИНСКОЕ ГРОВД РЕСПУБЛИКИ ТАТАРСТАН|15.04.2007|
 |1223|162-061|УВД Кировского р-на г. Казани|01.01.2002|
 |1224|163-001|"ОМ ""ДУБРАВНЫЙ"" ПРИВОЛЖСКОГО Р-НА Г. КАЗАНИ"| |
 |1225|163-002|"ОМ ""ЮДИНО"" КИРОВСКОГО Р-НА Г. КАЗАНИ"| |
 |1226|163-003|"ОМ ""ДЕРБЫШКИ"" СОВЕТСКОГО Р-НА Г. КАЗАНИ"| |
 |1227|163-004|"ОМ ""ВАСИЛЬЕВО"" ЗЕЛЕНОДОЛЬСКОГО УВД РЕСПУБЛИКИ ТАТАРСТАН"| |
 |1228|163-005|"ОМ ""Н. ВЯЗОВЫЕ"" ЗЕЛЕНОДОЛЬСКОГО УВД РЕСПУБЛИКИ ТАТАРСТАН"| |
 |1229|170-000|ОФМС РОССИИ ПО РЕСПУБЛИКЕ ТЫВА| |
 |1230|170-000|ОТДЕЛЕНИЕ ИКВИР| |
 |1231|170-001|ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ТЫВА В Г. КЫЗЫЛЕ| |
 |1232|170-001|ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ТЫВА В Г. КЫЗЫЛЕ| |
 |1233|170-002|Миграционный пункт ОФМС России по Республике Тыва в пгт. Каа-Хем| |
